LUH,small,Sahnewal,9,30.850359856170176,75.95707224036518
SSE,mid,Solapur,9,17.625415183635024,75.93305977107549
IXR,mid,Birsa Munda,9,23.317724598996193,85.3235970368767
AWZ,mid,Ahwaz,9,31.343158556075725,48.74710654359313
GWL,mid and military,Gwalior,9,26.28548769793701,78.21721865463483
HOD,mid,Hodeidah Int'l,9,14.755253441372462,42.97109630194003
IDR,mid,Devi Ahilyabai Holkar Int'l,9,22.72774918757095,75.8092915005895
ISK,mid,Gandhinagar,9,19.966020567280626,73.81056749246886
IXC,major and military,Chandigarh Int'l,9,30.670724894966725,76.80172611052417
IXU,mid,Aurangabad,9,19.867296962108234,75.39584329220051
LYP,mid and military,Faisalabad Int'l,9,31.362743548086222,72.9878190922305
OMS,mid,Omsk Tsentralny,9,54.95764829340594,73.3163595376585
OVB,mid,Novosibirsk Tolmachev,9,55.00958471362636,82.66715245258652
OZH,mid and military,Zaporozhye Int'l,9,47.873263557902284,35.30187285752786
PKU,mid,Simpang Tiga,9,0.464600872998505,101.44656929844086
ROP,mid,Rota Int'l,9,14.171771297121616,145.24398029858185
SGC,mid,Surgut,9,61.340167219448126,73.40849647643748
TRZ,mid,Tiruchirappalli,9,10.76035713065535,78.7089578747476
TUK,mid,Turbat Int'l,9,25.988794590011004,63.027933351918136
UET,mid,Quetta Int'l,9,30.249043186181034,66.94873114809494
ZAH,mid,Zahedan Int'l,9,29.475294195657344,60.90070856491495
MLG,mid and military,Abdul Rachman Saleh,9,-7.929980028405668,112.71141861725775
BAX,mid,Barnaul,9,53.3633850813046,83.55045321240377
CJJ,major,Cheongju Int'l,9,36.72202277666726,127.49591612468085
KWJ,mid and military,Gwangju,9,35.14000513901977,126.81083948122644
TAE,mid,Daegu Int'l,9,35.89992779690866,128.63753769993312
USN,mid,Ulsan,9,35.59289575271069,129.35573104752825
TKG,mid,Radin Inten II,9,-5.242566777131995,105.17606041916142
IXD,military,Allahabad,9,25.443522027820965,81.73172714621872
CEK,mid,Chelyabinsk,9,55.29779194960553,61.51225897402009
TNN,military mid,Tainan,8,22.950667918346994,120.20973331809326
RMQ,military mid,Taichung,8,24.26665555671146,120.63070354758395
RTM,mid,Rotterdam The Hague,8,51.94913018993815,4.433844349628765
VOZ,mid,Voronezh-Chertovitskoye,8,51.81261712683441,39.22544964479734
LPL,major,Liverpool John Lennon,8,53.336375105442215,-2.858620657849379
VTZ,mid,Vishakapatnam,8,17.7279577384364,83.2235216387465
UPG,major,Sultan Hasanuddin Int'l,8,-5.058936894557788,119.54569134215063
VAV,mid,Vava'u Int'l,8,-18.586005855065373,-173.96809394415877
NCL,major,Newcastle Int'l,8,55.037084860801954,-1.71034578407216
LCE,mid,Goloson Int'l,8,15.74515966591258,-86.8514685020011
MED,major,Madinah Int'l,8,24.54423396056608,39.69913595604174
YMX,mid,Mirabel Int'l,8,45.68322509792671,-74.02873829848139
PLQ,mid,Palanga Int'l,8,55.971342623535804,21.09744639862514
JAI,mid,Jaipur Int'l,8,26.821179810060464,75.80101041926682
IXW,mid,Sonari,8,22.815414511024233,86.17246623637757
YEI,mid,Yenisehir,8,40.255539500747304,29.54492
ADA,major,Sakirpasa,8,36.9852090641795,35.29696142683381
ADQ,mid,Kodiak,8,57.74859210704827,-152.4856385152345
AMA,major,Amarillo Int'l,8,35.218403191939814,-101.70535277269678
ASP,mid,Alice Springs,8,-23.801968,133.902918
ATQ,mid and military,Raja Sansi Int'l,8,31.706822025888847,74.80715597198244
BBI,mid,Biju Patnaik,8,20.252665975473413,85.81688995444293
BET,mid,Bethel,8,60.77873798340883,-161.8389869594397
BGA,mid,Palonegro,8,7.127709154026846,-73.18092077253607
BHM,major,Birmingham Int'l,8,33.56186728280577,-86.75237736154624
BHQ,mid,Broken Hill,8,-31.998996737463017,141.47040730309726
BIL,major,Logan Int'l,8,45.803685571527836,-108.53692938812462
BIS,mid,Bismarck Muni.,8,46.77510666616138,-100.75747130371745
BJX,mid,Del Bajio Int'l,8,20.98588712119381,-101.47875338246688
BNI,mid,Benin,8,6.317166892078184,5.603682560067003
BOJ,major,Bourgas,8,42.56708354877019,27.51640936629526
BRE,major,Bremen,8,53.052287104156015,8.7858617703132
BRM,mid,Jacinto Lara Int'l,8,10.0453,-69.356102
BRO,mid,Brownsville-South Padre Island Int'l,8,25.906274354534673,-97.43176534023202
BRS,major,Bristol Int'l,8,51.38629341891484,-2.710864691343084
BTR,major,Baton Rouge Metro,8,30.532613804058556,-91.15675440481048
BTS,major,Bratislava-M.R. Stefanik,8,48.16983790625349,17.19998500222079
BTV,mid,Burlington Int'l,8,44.469206604073214,-73.15507877906677
CAE,major,Columbia Metro,8,33.934205458427535,-81.10933524293772
CCJ,major,Calicut Int'l,8,11.1395520526064,75.95099306305104
CCK,mid,Cocos (Keeling) Islands,8,-12.185158595329305,96.82874721442073
CFU,mid,Corfu Int'l (Ioannis Kapodistrias),8,39.60675545052586,19.914756164166214
CGQ,major,Changchun Longjia Int'l,8,43.99301147957697,125.69045681299836
CHS,major and military,Charleston Int'l,8,32.884530156296464,-80.03693374382624
CJB,mid,Coimbatore,8,11.030141512598268,77.03889377226204
CLJ,mid,Someseni,8,46.78266263402428,23.68698126804856
CMW,mid,Ignacio Agramonte,8,21.424703728196057,-77.84510399351666
CPR,major,Casper/Natrona County Int'l,8,42.89719004830057,-106.46444480969178
CRK,major,Clark Int'l,8,15.187642242388833,120.55077022391397
CRW,major and military,Yeager,8,38.37059143728646,-81.5964164667526
